"date","maxtemp","mintemp","wind","maxgust","precipitation","snowdepth","event"
"02/02/2012 ",24,18,19.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"03/02/2012 ",21,17,16.8,"n/a ",0,"n/a "," "
"04/02/2012 ",21,16,19.6,"n/a ",0,"n/a "," "
"05/02/2012 ",22,15,18.2,"n/a ",0,"n/a "," "
"06/02/2012 ",22,14,13.8,"n/a ",0,"n/a "," "
"07/02/2012 ",24,15,11.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"08/02/2012 ",24,17,16.8,"n/a ",0,"n/a "," "
"09/02/2012 ",24,17,18.2,"n/a ",0,"n/a "," "
"10/02/2012 ",25,17,16.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"11/02/2012 ",23,15,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"12/02/2012 ",22,18,19.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"13/02/2012 ",24,16,15.5,"n/a ",0,"n/a "," "
"14/02/2012 ",24,18,15.5,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"15/02/2012 ",24,16,9.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"16/02/2012 ",25,16,13.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"17/02/2012 ",23,16,8.4,"n/a ",0,"n/a "," "
"18/02/2012 ",24,23,18.2,"n/a ",0,"n/a "," "
"19/02/2012 ",24,17,16.8,"n/a ",0,"n/a "," "
"20/02/2012 ",25,16,21,"n/a ",0,"n/a "," "
"21/02/2012 ",26,20,19.6,"n/a ",0,"n/a "," "
"22/02/2012 ",23,21,30.8,40.4,"n/a ","n/a ","Rain (or Drizzle)"
"23/02/2012 ",22,19,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"24/02/2012 ",24,17,32,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"25/02/2012 ",21,15,36.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"26/02/2012 ",22,14,21,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"27/02/2012 ",23,14,16.8,"n/a ",0,"n/a "," "
"28/02/2012 ",22,15,19.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"29/02/2012 ",21,17,35.1,50.2,"n/a ","n/a ","Rain (or Drizzle)"
"01/03/2012 ",20,16,33.4,"n/a ",0,"n/a "," "
"02/03/2012 ",20,16,46.1,62.8,"n/a ","n/a ","Rain (or Drizzle)"
"03/03/2012 ",18,11,40.4,44.9,"n/a ","n/a ","Rain (or Drizzle)"
"04/03/2012 ",20,11,21,"n/a ",0,"n/a "," "
"05/03/2012 ",21,12,11.2,"n/a ",0,"n/a "," "
"06/03/2012 ",21,14,13.8,"n/a ",0,"n/a "," "
"07/03/2012 ",23,17,15.5,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"08/03/2012 ",21,13,19.6,"n/a ",0,"n/a "," "
"09/03/2012 ",23,15,13.8,"n/a ",0,"n/a "," "
"10/03/2012 ",21,17,16.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"11/03/2012 ",21,16,28,32,"n/a ","n/a ","Rain (or Drizzle)"
"12/03/2012 ",20,17,32,"n/a ",0,"n/a "," "
"13/03/2012 ",21,14,19.6,"n/a ",0,"n/a "," "
"14/03/2012 ",21,13,11.2,26.6,0,"n/a "," "
"15/03/2012 ",22,13,18.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"16/03/2012 ",22,16,13.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"17/03/2012 ",21,16,22.2,"n/a ",0,"n/a "," "
"18/03/2012 ",22,17,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"19/03/2012 ",20,15,32,44.9,"n/a ","n/a ","Rain (or Drizzle)"
"20/03/2012 ",23,19,29.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"21/03/2012 ",21,15,19.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"22/03/2012 ",24,18,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"23/03/2012 ",22,16,18.2,"n/a ",0,"n/a "," "
"24/03/2012 ",22,17,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"25/03/2012 ",21,16,29.4,"n/a ",0,"n/a "," "
"26/03/2012 ",19,11,25.3,"n/a ",0,"n/a "," "
"27/03/2012 ",20,12,18.2,"n/a ",0,"n/a "," "
"28/03/2012 ",20,13,21,"n/a ",0,"n/a "," "
"29/03/2012 ",22,11,9.8,"n/a ",0,"n/a "," "
"30/03/2012 ",21,13,15.5,"n/a ",0,"n/a "," "
"31/03/2012 ",23,14,16.8,"n/a ",0,"n/a ","  "
"01/04/2012 ",22,16,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"02/04/2012 ",20,16,23.6,"n/a ",0,"n/a "," "
"03/04/2012 ",23,18,35.1,50.2,0,"n/a "," "
"04/04/2012 ",24,17,35.1,46.1,0,"n/a "," "
"05/04/2012 ",24,12,23.6,"n/a ",0,"n/a "," "
"06/04/2012 ",22,12,16.8,"n/a ",0,"n/a "," "
"07/04/2012 ",19,13,13.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"08/04/2012 ",20,13,22.2,"n/a ",0,"n/a "," "
"09/04/2012 ",20,12,21,"n/a ",0,"n/a "," "
"10/04/2012 ",21,14,16.8,"n/a ",0,"n/a "," "
"11/04/2012 ",19,16,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"12/04/2012 ",20,16,33.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"13/04/2012 ",19,16,28,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
